lemma,definition,type,def_normalized,def_template,templates,llm_templates
aabitooshkinatoon,fill it half full (with solids),vti2,fill it half full (with solids),fill {{object}} half full (with solids),['fill {{object}} half full (with solids)'],"{'verbs': ['fill'], 'templates': ['fill {{object}} half full']}"
jaagizan,burn it up,vti,burn it up,burn {{object}} up,['burn {{object}} up'],"{'verbs': ['burn'], 'templates': ['burn {{object}} up']}"
gwiinawendan,"miss, feel the absence of it",vti,"miss, feel the absence of it","miss, feel the absence of {{object}}","['miss, feel the absence of {{object}}']","{'verbs': ['miss', 'feel'], 'templates': ['miss {{object}}', 'feel the absence of {{object}}']}"
baabagonan,strip it off a tree (as bark),vti,strip it off a tree (as bark),strip {{object}} off a tree (as bark),['strip {{object}} off a tree (as bark)'],"{'verbs': ['strip'], 'templates': ['strip {{object}} off a tree']}"
maawandoonan,bring them (inanimate) together,vti,bring them (inanimate) together,bring {{object}} (inanimate) together,['bring {{object}} (inanimate) together'],"{'verbs': ['bring'], 'templates': ['bring {{object}} together']}"
biimaskowebinan,spin it around,vti,spin it around,spin {{object}} around,['spin {{object}} around'],"{'verbs': ['spin'], 'templates': ['spin {{object}} around']}"
baakaakonan,open it (something solid or of wood),vti,open it,open {{object}},['open {{object}}'],"{'verbs': ['open'], 'templates': ['open {{object}}']}"
aazhawaabiiginan,string it across,vti,string it across,string {{object}} across,['string {{object}} across'],"{'verbs': ['string'], 'templates': ['string {{object}} across']}"
nabagishkan,flatten it (with foot or body),vti,flatten it,flatten {{object}},['flatten {{object}}'],"{'verbs': ['flatten'], 'templates': ['flatten {{object}}']}"
gwayakozhan,cut it straight,vti,cut it straight,cut {{object}} straight,['cut {{object}} straight'],"{'verbs': ['cut'], 'templates': ['cut {{object}} straight']}"
binangwapidoon,tie it loosely,vti2,tie it loosely,tie {{object}} loosely,['tie {{object}} loosely'],"{'verbs': ['tie'], 'templates': ['tie {{object}} loosely']}"
ningagwinjidoon,thaw it in the water,vti2,thaw it in the water,thaw {{object}} in the water,['thaw {{object}} in the water'],"{'verbs': ['thaw'], 'templates': ['thaw {{object}} in the water']}"
apiitendan,"be so proud of it; value, regard it so high",vti,"be so proud of it; value, regard it so high","be so proud of {{object}}; value, regard {{object}} so high","['be so proud of {{object}}', ' value, regard {{object}} so high']","{'verbs': ['be', 'value', 'regard'], 'templates': ['be so proud of {{object}}', 'value {{object}} so high', 'regard {{object}} so high']}"
biskiiginan,fold it (sheet-like),vti,fold it,fold {{object}},['fold {{object}}'],"{'verbs': ['fold'], 'templates': ['fold {{object}}']}"
wanaajitoon,"spoil, ruin, destroy it",vti2,"spoil, ruin, destroy it","spoil, ruin, destroy {{object}}","['spoil, ruin, destroy {{object}}']","{'verbs': ['spoil', 'ruin', 'destroy'], 'templates': ['spoil {{object}}', 'ruin {{object}}', 'destroy {{object}}']}"
meshkwadoonan,"trade, exchange it",vti,"trade, exchange it","trade, exchange {{object}}","['trade, exchange {{object}}']","{'verbs': ['trade', 'exchange'], 'templates': ['trade {{object}}', 'exchange {{object}}']}"
aawetan,identify it (by sound),vti,identify it,identify {{object}},['identify {{object}}'],"{'verbs': ['identify'], 'templates': ['identify {{object}}']}"
gidashkibidoon,remove the husk of it (wild rice) by hand,vti2,remove the husk of it by hand,remove the husk of {{object}} by hand,['remove the husk of {{object}} by hand'],"{'verbs': ['remove'], 'templates': ['remove the husk of {{object}} by hand']}"
dookibidoon,"poke, jab it",vti2,"poke, jab it","poke, jab {{object}}","['poke, jab {{object}}']","{'verbs': ['poke', 'jab'], 'templates': ['poke {{object}}', 'jab {{object}}']}"
zhishigobidoon,crush it (with hands),vti2,crush it,crush {{object}},['crush {{object}}'],"{'verbs': ['crush'], 'templates': ['crush {{object}}']}"
agwaa'an,take it off the water or fire (using something); take it out of the pot (using something),vti,take it off the water or fire (using something); take it out of the pot (using something),take {{object}} off the water or fire (using something); take {{object}} out of the pot (using something),"['take {{object}} off the water or fire (using something)', ' take {{object}} out of the pot (using something)']","{'verbs': ['take'], 'templates': ['take {{object}} off the water or fire (using something)', 'take {{object}} out of the pot (using something)']}"
boozwebinan,throw it aboard,vti,throw it aboard,throw {{object}} aboard,['throw {{object}} aboard'],"{'verbs': ['throw'], 'templates': ['throw {{object}} aboard']}"
izhiigibidoon,tear it (sheet-like) a certain way,vti2,tear it a certain way,tear {{object}} a certain way,['tear {{object}} a certain way'],"{'verbs': ['tear'], 'templates': ['tear {{object}} a certain way']}"
mookiweba'an,"dig it up, expose it (using something forcefully)",vti,"dig it up, expose it","dig {{object}} up, expose {{object}}","['dig {{object}} up, expose {{object}}']","{'verbs': ['dig', 'expose'], 'templates': ['dig {{object}} up', 'expose {{object}}']}"
ombaagamishkan,get in and make the water in it rise,vti,get in and make the water in it rise,get in and make the water in {{object}} rise,['get in and make the water in {{object}} rise'],"{'verbs': ['get', 'make'], 'templates': ['get in and make the water in {{object}} rise']}"
wiikwaabiiginan,pull it with a rope,vti,pull it with a rope,pull {{object}} with a rope,['pull {{object}} with a rope'],"{'verbs': ['pull'], 'templates': ['pull {{object}} with a rope']}"
